Id,Continent
20a82317-252b-11f0-aba6-d85ed33237df,afrika
20a82261-252b-11f0-aba6-d85ed33237df,asia
20a81f82-252b-11f0-aba6-d85ed33237df,europa
20a82371-252b-11f0-aba6-d85ed33237df,midtøsten
