Id,Type
204f8e17-252b-11f0-aba6-d85ed33237df,energi
204f8d71-252b-11f0-aba6-d85ed33237df,enhet
204f67ad-252b-11f0-aba6-d85ed33237df,vekt
204f8b8c-252b-11f0-aba6-d85ed33237df,volum
