Id,Name,DisplayIndex,Mandatory,NutrientId,MessureId
5073d6fe-2822-11f0-8a90-d85ed33237df,vitamin b9 (folat),46,0,Folat,505b473a-2822-11f0-8a90-d85ed33237df
5073d91b-2822-11f0-8a90-d85ed33237df,vitamin b12 (kobalamin),47,0,Vit B12,505b473a-2822-11f0-8a90-d85ed33237df
5073db2b-2822-11f0-8a90-d85ed33237df,vitamin c (askorbinsyre),48,0,Vit C,505b4670-2822-11f0-8a90-d85ed33237df
5073dd24-2822-11f0-8a90-d85ed33237df,kalsium (ca),49,0,Ca,505b4670-2822-11f0-8a90-d85ed33237df
5073df15-2822-11f0-8a90-d85ed33237df,kalium (k),50,0,K,505b4670-2822-11f0-8a90-d85ed33237df
5073e13a-2822-11f0-8a90-d85ed33237df,natrium (na),51,0,Na,505b4670-2822-11f0-8a90-d85ed33237df
5073e32e-2822-11f0-8a90-d85ed33237df,salt (nacl),52,0,NaCl,505b45d1-2822-11f0-8a90-d85ed33237df
5073e4fd-2822-11f0-8a90-d85ed33237df,fosfor (p),53,0,P,505b4670-2822-11f0-8a90-d85ed33237df
5073e6c3-2822-11f0-8a90-d85ed33237df,magnesium (mg),54,0,Mg,505b4670-2822-11f0-8a90-d85ed33237df
5073e882-2822-11f0-8a90-d85ed33237df,jern (fe),55,0,Fe,505b4670-2822-11f0-8a90-d85ed33237df
5073ea4a-2822-11f0-8a90-d85ed33237df,kobber (cu),56,0,Cu,505b4670-2822-11f0-8a90-d85ed33237df
5073ec15-2822-11f0-8a90-d85ed33237df,sink (zn),57,0,Zn,505b4670-2822-11f0-8a90-d85ed33237df
5073ee3d-2822-11f0-8a90-d85ed33237df,selen (se),58,0,Se,505b473a-2822-11f0-8a90-d85ed33237df
5073f05a-2822-11f0-8a90-d85ed33237df,jod (i),59,0,I,505b473a-2822-11f0-8a90-d85ed33237df
