Id,Value,IngredientId,NutrientTypeId
00df6d88-82ed-4190-a0e2-ee6d655fd9d4,0.01,bdf92605-5be0-462a-9356-57a646a3e5a1,5073a67e-2822-11f0-8a90-d85ed33237df
01f5b7a0-0e97-4fe0-81e5-1c1232fac96a,1553.07,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,507374f8-2822-11f0-8a90-d85ed33237df
03e77955-8213-480d-98a5-2f223d491dfd,14.1,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073b8c8-2822-11f0-8a90-d85ed33237df
0517eb9e-84e1-4ce2-8433-9397d8067245,11.0,bdf92605-5be0-462a-9356-57a646a3e5a1,5073e6c3-2822-11f0-8a90-d85ed33237df
084713cf-243d-427e-aa14-10f1004eba85,0.35,bdf92605-5be0-462a-9356-57a646a3e5a1,5073880f-2822-11f0-8a90-d85ed33237df
0d7f9d29-b584-44e6-a005-abc2e57f31a4,413.0,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073df15-2822-11f0-8a90-d85ed33237df
0dc28eba-774a-499c-bc62-c81a40dc22a4,2.22,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073968c-2822-11f0-8a90-d85ed33237df
0e9a8f43-ea85-4b95-98e2-5efb95b9b11a,0.15,bdf92605-5be0-462a-9356-57a646a3e5a1,5073cd96-2822-11f0-8a90-d85ed33237df
1228e3e1-9b6a-46ec-a31e-65c698f42e84,0.4,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073d294-2822-11f0-8a90-d85ed33237df
150466e7-2d2e-4012-a651-26d854be31e4,6.7,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,50738086-2822-11f0-8a90-d85ed33237df
1a9511a6-e76f-4665-b81e-8b7e45016b27,2.22,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073a878-2822-11f0-8a90-d85ed33237df
1ab55488-017c-4ed9-973d-153205c1726f,4.5,bdf92605-5be0-462a-9356-57a646a3e5a1,5073ac45-2822-11f0-8a90-d85ed33237df
1f9cb7eb-9807-4447-9156-1b60a83cb9a0,1.0,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073e13a-2822-11f0-8a90-d85ed33237df
1fbc494b-f365-4ddd-a99a-bc351c7ec222,55.0,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073dd24-2822-11f0-8a90-d85ed33237df
29a9a0f5-d7d9-4765-b917-b42349d85a78,0.08,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073a67e-2822-11f0-8a90-d85ed33237df
29b88090-8be6-4039-894b-b75573948c93,2.3,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,50739477-2822-11f0-8a90-d85ed33237df
2ae92ba8-0660-4229-a17a-e53d34f4fa11,0.4,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073b8c8-2822-11f0-8a90-d85ed33237df
2b99aac3-74c9-4904-8989-321de3f9010e,0.1,bdf92605-5be0-462a-9356-57a646a3e5a1,50739477-2822-11f0-8a90-d85ed33237df
2cb82173-13f4-46e1-9ed6-26e2df1c1986,51.0,3845c68a-ac78-4587-a56b-0e2028f7a9cf,507374f8-2822-11f0-8a90-d85ed33237df
2efad0d9-4fb0-4427-b65e-c21d7f5d1c8d,12.0,3845c68a-ac78-4587-a56b-0e2028f7a9cf,50737d6a-2822-11f0-8a90-d85ed33237df
31013a51-2d8e-44dd-8e39-e8ea7fea4560,2.1,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073b217-2822-11f0-8a90-d85ed33237df
35e18765-9f11-47fe-9d11-d1e03ae2c057,0.7,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073c975-2822-11f0-8a90-d85ed33237df
36fc5af2-c07c-45c6-bc82-57de8aa750c9,4.1,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073e882-2822-11f0-8a90-d85ed33237df
3a3acafb-3a47-4f89-a6cd-3b1e77a9974e,63.0,bdf92605-5be0-462a-9356-57a646a3e5a1,50737d6a-2822-11f0-8a90-d85ed33237df
40580483-fdec-4394-955e-c217dbfd9df9,0.99,bdf92605-5be0-462a-9356-57a646a3e5a1,50738a46-2822-11f0-8a90-d85ed33237df
4262cfad-c01d-4bf8-a7d2-8b23194f437d,10.0,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073bcf4-2822-11f0-8a90-d85ed33237df
43bc1356-1225-4b8e-8497-0831a52105d1,115.0,bdf92605-5be0-462a-9356-57a646a3e5a1,5073e4fd-2822-11f0-8a90-d85ed33237df
4575bcd4-7101-4c24-bc37-097a15131c1e,7.0,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073e6c3-2822-11f0-8a90-d85ed33237df
4580f428-771a-455d-a77a-b9ae7f7c6f4d,130.0,bdf92605-5be0-462a-9356-57a646a3e5a1,5073dd24-2822-11f0-8a90-d85ed33237df
4879d988-cfa3-40ac-9d00-7d64c1ad7ea1,1.0,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,507382cd-2822-11f0-8a90-d85ed33237df
499d2369-792a-405a-84f8-d195ce8444aa,0.8,bdf92605-5be0-462a-9356-57a646a3e5a1,5073d294-2822-11f0-8a90-d85ed33237df
4a54df85-86f4-414b-b70e-a32381ef8bd8,0.02,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073cbae-2822-11f0-8a90-d85ed33237df
4c161cda-214c-42d1-88f1-75c44e33bc01,40.0,bdf92605-5be0-462a-9356-57a646a3e5a1,5073e13a-2822-11f0-8a90-d85ed33237df
4c66f515-0dc4-4b61-babd-9cd338a60d18,0.08,bdf92605-5be0-462a-9356-57a646a3e5a1,5073911a-2822-11f0-8a90-d85ed33237df
4e52f37d-0771-46e1-b94a-8490cf8a2e1f,0.4,bdf92605-5be0-462a-9356-57a646a3e5a1,5073ec15-2822-11f0-8a90-d85ed33237df
5298fae1-f540-4276-81a3-3b600e5f316c,0.1,bdf92605-5be0-462a-9356-57a646a3e5a1,50738daf-2822-11f0-8a90-d85ed33237df
53a471d5-139d-45a5-a0ed-133c6472f03a,0.01,bdf92605-5be0-462a-9356-57a646a3e5a1,50739850-2822-11f0-8a90-d85ed33237df
5678d90a-73cb-4f55-9388-e2216f64d2de,14.0,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073d6fe-2822-11f0-8a90-d85ed33237df
581409cb-5749-450b-bab2-460b1f353adf,22.0,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073bf1a-2822-11f0-8a90-d85ed33237df
64bdd4c9-7693-4420-bff5-f89fb9e23aa4,1.0,bdf92605-5be0-462a-9356-57a646a3e5a1,5073ee3d-2822-11f0-8a90-d85ed33237df
65724f8c-a36e-4242-8d21-c120f7e17bf6,12.0,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073ae37-2822-11f0-8a90-d85ed33237df
66c60c61-44df-447e-85d9-b5bbe5f6b27b,4.5,bdf92605-5be0-462a-9356-57a646a3e5a1,5073b217-2822-11f0-8a90-d85ed33237df
6702c85f-75ac-41d0-b9e5-b05f373c6f79,438.0,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073e4fd-2822-11f0-8a90-d85ed33237df
670fe5a5-a46e-42b8-a59d-4b81aa4e830a,3.0,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073ee3d-2822-11f0-8a90-d85ed33237df
67f1ff8f-9d6b-43cf-b9fc-65282052df1f,0.01,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073880f-2822-11f0-8a90-d85ed33237df
73408999-88e0-4329-9ec2-48afcab9f4a7,1.0,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073b217-2822-11f0-8a90-d85ed33237df
78c005ed-ecf9-4901-9d3b-461c6437e4d1,0.02,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073cd96-2822-11f0-8a90-d85ed33237df
