Id,Name
5088a260-2822-11f0-8a90-d85ed33237df,bær
5088a344-2822-11f0-8a90-d85ed33237df,bakevarer
50889ec8-2822-11f0-8a90-d85ed33237df,belgvekst
5088a40c-2822-11f0-8a90-d85ed33237df,diverse
5088a4a0-2822-11f0-8a90-d85ed33237df,egg
5088a52c-2822-11f0-8a90-d85ed33237df,fett
5088a5ac-2822-11f0-8a90-d85ed33237df,fisk
5088a653-2822-11f0-8a90-d85ed33237df,frø
5088a603-2822-11f0-8a90-d85ed33237df,frukt
5088a6b0-2822-11f0-8a90-d85ed33237df,fugl
5088a3a5-2822-11f0-8a90-d85ed33237df,grønnsak
5088a7cf-2822-11f0-8a90-d85ed33237df,kjøtt
5088a73c-2822-11f0-8a90-d85ed33237df,korn
5088a85f-2822-11f0-8a90-d85ed33237df,krydder
5088a8b3-2822-11f0-8a90-d85ed33237df,meieri
5088a906-2822-11f0-8a90-d85ed33237df,melk
5088a952-2822-11f0-8a90-d85ed33237df,nøtter
5088a99e-2822-11f0-8a90-d85ed33237df,skalldyr
5088a9e8-2822-11f0-8a90-d85ed33237df,sukker
5088ab06-2822-11f0-8a90-d85ed33237df,urter
